iter	Passed	Remaining
0	142	142293
1	144	72269
2	146	48784
3	148	37009
4	150	29970
5	154	25521
6	155	22104
7	157	19528
8	158	17499
9	160	15862
10	161	14517
11	162	13400
12	164	12477
13	167	11767
14	168	11057
15	169	10417
16	170	9858
17	171	9357
18	172	8911
19	173	8519
20	174	8152
21	175	7813
22	177	7528
23	178	7256
24	179	7007
25	180	6768
26	181	6545
27	182	6340
28	183	6156
29	184	5975
30	185	5805
31	186	5648
32	187	5499
33	188	5357
34	189	5223
35	190	5106
36	191	4987
37	192	4874
38	193	4772
39	196	4716
40	197	4621
41	198	4535
42	199	4444
43	200	4356
44	201	4272
45	202	4192
46	203	4119
47	204	4046
48	205	3980
49	205	3913
50	206	3848
51	207	3784
52	208	3724
53	209	3672
54	210	3617
55	211	3567
56	212	3517
57	213	3467
58	214	3419
59	215	3371
60	216	3325
61	216	3279
62	217	3239
63	218	3197
64	219	3158
65	220	3118
66	221	3079
67	221	3040
68	222	3005
69	224	2976
70	225	2947
71	226	2918
72	227	2889
73	228	2859
74	229	2827
75	230	2798
76	231	2769
77	231	2741
78	232	2713
79	233	2686
80	234	2660
81	235	2634
82	236	2610
83	237	2586
84	237	2559
85	238	2536
86	239	2509
87	240	2487
88	241	2467
89	242	2447
90	243	2428
91	244	2409
92	245	2389
93	245	2369
94	246	2352
95	247	2332
96	248	2314
97	249	2295
98	250	2278
99	251	2260
100	251	2242
101	252	2224
102	255	2220
103	256	2207
104	257	2191
105	258	2176
106	259	2165
107	260	2150
108	261	2136
109	262	2121
110	263	2107
111	263	2092
112	264	2077
113	265	2064
114	266	2050
115	267	2035
116	268	2024
117	269	2011
118	269	1997
119	271	1988
120	272	1977
121	273	1965
122	273	1951
123	274	1940
124	275	1928
125	276	1916
126	277	1904
127	277	1891
128	278	1880
129	279	1870
130	280	1860
131	281	1849
132	282	1839
133	283	1831
134	284	1823
135	285	1814
136	286	1807
137	287	1798
138	288	1787
139	289	1777
140	290	1768
141	291	1758
142	291	1749
143	292	1739
144	293	1731
145	294	1722
146	295	1713
147	296	1704
148	297	1697
149	298	1689
150	299	1681
151	300	1675
152	301	1667
153	302	1659
154	302	1651
155	303	1642
156	304	1634
157	305	1626
158	305	1618
159	306	1609
160	307	1602
161	308	1594
162	308	1586
163	309	1578
164	310	1571
165	311	1564
166	312	1558
167	314	1556
168	315	1551
169	316	1544
170	317	1538
171	318	1531
172	318	1524
173	319	1518
174	320	1511
175	321	1505
176	322	1498
177	323	1491
178	323	1485
179	324	1479
180	325	1471
181	326	1466
182	327	1460
183	328	1456
184	329	1450
185	330	1444
186	330	1438
187	331	1432
188	332	1426
189	333	1420
190	333	1414
191	334	1408
192	335	1402
193	336	1396
194	336	1391
195	337	1385
196	338	1379
197	339	1373
198	339	1368
199	341	1365
200	342	1363
201	343	1358
202	344	1352
203	345	1346
204	345	1341
205	346	1336
206	347	1330
207	348	1325
208	348	1320
209	349	1315
210	350	1310
211	351	1305
212	351	1300
213	352	1295
214	353	1290
215	354	1285
216	354	1280
217	355	1276
218	356	1272
219	357	1267
220	358	1262
221	359	1258
222	359	1254
223	360	1249
224	361	1245
225	362	1240
226	362	1235
227	363	1231
228	364	1226
229	365	1222
230	365	1218
231	366	1213
232	367	1209
233	368	1206
234	369	1202
235	370	1198
236	371	1196
237	372	1193
238	373	1189
239	374	1185
240	375	1181
241	375	1177
242	376	1173
243	377	1169
244	378	1165
245	379	1161
246	379	1158
247	380	1154
248	381	1150
249	382	1146
250	383	1143
251	383	1139
252	384	1135
253	385	1133
254	387	1131
255	388	1127
256	388	1124
257	389	1120
258	390	1117
259	391	1113
260	392	1110
261	392	1106
262	393	1102
263	394	1099
264	394	1095
265	395	1091
266	396	1088
267	397	1084
268	397	1081
269	398	1077
270	399	1074
271	401	1075
272	402	1072
273	403	1069
274	404	1065
275	405	1062
276	405	1059
277	406	1056
278	407	1053
279	408	1049
280	409	1046
281	409	1043
282	410	1040
283	411	1037
284	412	1033
285	412	1030
286	413	1027
287	414	1024
288	415	1022
289	416	1019
290	416	1015
291	418	1013
292	419	1011
293	419	1008
294	420	1005
295	421	1002
296	422	999
297	423	996
298	423	993
299	424	990
300	425	988
301	426	985
302	426	982
303	427	979
304	428	976
305	429	973
306	430	971
307	431	969
308	432	966
309	432	963
310	433	960
311	434	957
312	435	955
313	435	952
314	436	949
315	437	946
316	438	944
317	439	941
318	440	939
319	440	936
320	441	934
321	442	931
322	443	928
323	443	926
324	444	923
325	445	920
326	446	918
327	447	916
328	447	913
329	448	911
330	449	908
331	450	906
332	451	903
333	451	901
334	452	898
335	453	896
336	454	894
337	455	891
338	456	889
339	457	887
340	458	885
341	459	884
342	460	883
343	462	881
344	462	878
345	463	876
346	464	874
347	465	872
348	466	869
349	467	867
350	467	865
351	468	863
352	469	860
353	470	858
354	471	856
355	472	853
356	472	851
357	473	849
358	474	847
359	475	845
360	476	843
361	477	841
362	478	839
363	479	837
364	480	835
365	481	833
366	481	831
367	482	829
368	483	826
369	484	825
370	485	822
371	486	820
372	487	818
373	489	819
374	490	818
375	492	816
376	492	814
377	493	812
378	494	810
379	495	807
380	495	805
381	497	804
382	497	802
383	498	800
384	499	798
385	500	796
386	501	794
387	502	792
388	503	791
389	504	789
390	505	787
391	506	786
392	507	784
393	508	782
394	509	780
395	510	778
396	511	776
397	512	774
398	512	772
399	513	770
400	514	768
401	515	767
402	516	765
403	518	765
404	519	763
405	520	761
406	521	760
407	522	758
408	524	757
409	524	755
410	525	753
411	526	751
412	527	749
413	528	748
414	529	746
415	530	744
416	530	742
417	532	740
418	533	739
419	534	738
420	535	737
421	537	735
422	537	733
423	538	731
424	539	730
425	540	728
426	541	726
427	542	725
428	543	723
429	544	722
430	545	720
431	546	719
432	547	717
433	550	717
434	551	715
435	552	714
436	553	712
437	554	711
438	555	709
439	556	707
440	556	705
441	557	703
442	558	702
443	559	700
444	560	699
445	561	697
446	562	695
447	563	694
448	564	692
449	565	690
450	566	689
451	567	687
452	568	686
453	569	684
454	570	682
455	570	681
456	571	679
457	572	677
458	573	675
459	574	674
460	575	672
461	578	673
462	579	671
463	580	670
464	581	668
465	582	666
466	582	665
467	583	663
468	584	662
469	585	660
470	586	658
