iter	Passed	Remaining
0	146	146801
1	152	76179
2	157	52201
3	160	39929
4	163	32446
5	165	27489
6	168	23940
7	170	21162
8	171	18938
9	173	17145
10	174	15689
11	175	14490
12	177	13482
13	180	12700
14	181	11911
15	182	11212
16	183	10607
17	184	10064
18	185	9576
19	186	9134
20	187	8735
21	188	8366
22	189	8035
23	189	7726
24	191	7462
25	193	7244
26	194	6999
27	195	6769
28	195	6553
29	196	6354
30	197	6171
31	198	5996
32	199	5832
33	199	5676
34	200	5529
35	201	5390
36	202	5261
37	202	5138
38	203	5020
39	204	4910
40	206	4834
41	207	4743
42	208	4644
43	209	4550
44	210	4460
45	211	4376
46	211	4295
47	212	4217
48	213	4146
49	218	4150
50	221	4115
51	223	4067
52	225	4027
53	229	4021
54	231	3971
55	232	3922
56	234	3876
57	235	3826
58	236	3778
59	238	3736
60	240	3699
61	242	3670
62	243	3628
63	244	3582
64	246	3538
65	246	3493
66	247	3451
67	248	3411
68	250	3373
69	250	3333
70	251	3294
71	252	3258
72	254	3226
73	256	3208
74	257	3172
75	258	3139
76	258	3104
77	259	3069
78	260	3036
79	261	3004
80	262	2972
81	262	2941
82	263	2907
83	264	2879
84	264	2850
85	265	2822
86	266	2794
87	267	2767
88	268	2746
89	270	2732
90	271	2707
91	271	2682
92	272	2658
93	273	2634
94	274	2613
95	275	2590
96	275	2568
97	276	2546
98	277	2524
99	278	2502
100	278	2481
101	279	2461
102	280	2440
103	280	2420
104	281	2402
105	283	2390
106	284	2377
107	285	2360
108	286	2342
109	287	2325
110	288	2308
111	288	2290
112	289	2274
113	290	2258
114	291	2243
115	292	2227
116	292	2209
117	293	2194
118	294	2178
119	294	2163
120	295	2148
121	296	2133
122	299	2134
123	300	2121
124	301	2107
125	301	2093
126	302	2078
127	303	2065
128	304	2053
129	304	2040
130	305	2027
131	306	2015
132	307	2002
133	307	1989
134	308	1977
135	309	1965
136	310	1953
137	311	1942
138	312	1933
139	314	1934
140	315	1924
141	316	1911
142	317	1901
143	318	1890
144	318	1880
145	319	1869
146	320	1859
147	321	1848
148	321	1838
149	322	1828
150	323	1818
151	324	1809
152	325	1799
153	325	1790
154	327	1787
155	329	1783
156	330	1775
157	331	1766
158	332	1757
159	332	1748
160	333	1737
161	334	1728
162	334	1720
163	335	1711
164	336	1703
165	337	1695
166	338	1686
167	338	1678
168	339	1671
169	340	1663
170	342	1661
171	343	1654
172	344	1647
173	345	1639
174	346	1632
175	347	1625
176	348	1618
177	348	1610
178	349	1603
179	350	1595
180	351	1588
181	351	1581
182	352	1573
183	353	1566
184	354	1560
185	354	1553
186	356	1548
187	358	1547
188	359	1541
189	360	1534
190	360	1528
191	361	1522
192	362	1515
193	363	1509
194	364	1503
195	364	1496
196	365	1490
197	366	1484
198	367	1477
199	368	1472
200	368	1466
201	369	1460
202	370	1454
203	372	1454
204	373	1449
205	374	1443
206	375	1437
207	376	1432
208	376	1426
209	377	1421
210	378	1416
211	379	1410
212	380	1405
213	381	1399
214	381	1394
215	382	1388
216	383	1383
217	384	1377
218	384	1372
219	386	1370
220	387	1367
221	388	1361
222	389	1356
223	390	1351
224	390	1346
225	391	1341
226	392	1336
227	393	1331
228	394	1326
229	394	1321
230	395	1316
231	396	1312
232	397	1307
233	397	1302
234	398	1297
235	399	1293
236	401	1292
237	402	1289
238	403	1284
239	404	1279
240	404	1274
241	405	1270
242	406	1266
243	407	1262
244	408	1258
245	408	1253
246	409	1249
247	410	1244
248	411	1240
249	411	1235
250	412	1231
251	413	1227
252	414	1223
253	415	1221
254	417	1219
255	418	1214
256	418	1211
257	419	1207
258	420	1202
259	421	1198
260	422	1195
261	423	1192
262	423	1187
263	424	1183
264	425	1179
265	426	1175
266	426	1171
267	427	1167
268	428	1163
269	429	1160
270	431	1161
271	432	1157
272	433	1153
273	434	1150
274	434	1146
275	435	1142
276	436	1138
277	437	1135
278	437	1131
279	438	1127
280	439	1124
281	440	1120
282	440	1116
283	441	1113
284	442	1109
285	443	1106
286	444	1104
287	446	1103
288	447	1100
289	448	1097
290	448	1093
291	449	1090
292	450	1087
293	451	1084
294	452	1080
295	452	1077
296	453	1074
297	454	1070
298	455	1067
299	456	1064
300	456	1060
301	457	1057
302	458	1054
303	460	1053
304	460	1050
305	461	1046
306	462	1043
307	463	1040
308	463	1037
309	464	1034
310	465	1031
311	466	1027
312	466	1024
313	467	1021
314	468	1018
315	469	1015
316	469	1012
317	470	1009
318	471	1006
319	472	1003
320	473	1001
321	474	999
322	475	996
323	476	994
324	477	991
325	478	988
326	478	985
327	479	982
328	480	979
329	481	976
330	481	973
331	482	971
332	483	968
333	484	965
334	484	962
335	485	959
336	486	956
337	487	954
338	488	952
339	490	951
340	490	948
341	491	946
342	492	943
343	493	940
344	494	938
345	494	935
346	495	932
347	496	930
348	497	927
349	497	924
350	498	922
351	499	919
352	500	917
353	501	914
354	502	912
355	503	911
356	504	908
357	505	906
358	506	903
359	507	901
360	507	898
361	508	896
362	509	893
363	509	891
364	510	888
365	511	886
366	512	883
367	513	881
368	514	879
369	514	876
370	515	874
371	516	871
372	517	869
373	518	868
374	519	865
375	520	863
376	520	860
377	521	858
378	522	855
379	523	853
380	523	850
381	524	848
382	525	846
383	526	843
384	526	841
385	527	839
386	528	837
387	529	834
388	529	832
389	530	830
390	531	828
391	533	827
392	534	825
393	535	823
394	535	820
395	536	818
396	537	816
397	538	814
398	539	811
399	539	809
400	540	807
401	541	805
402	542	802
403	542	800
404	543	798
405	544	796
406	545	794
407	545	791
408	547	790
409	548	788
410	549	786
411	549	784
412	550	782
413	551	780
414	552	778
415	552	776
416	553	773
417	554	771
418	555	769
419	555	767
420	556	765
421	557	763
422	558	761
423	558	759
424	559	756
425	560	755
426	561	753
427	562	751
428	563	749
429	564	747
430	564	745
431	565	743
432	566	741
433	567	739
434	567	737
435	568	735
436	569	733
437	570	731
438	571	729
439	571	727
440	572	725
441	573	723
442	574	721
443	574	719
444	575	718
445	577	717
446	578	715
447	579	713
448	579	711
449	580	709
450	581	707
451	582	705
452	582	703
453	583	701
454	584	700
455	585	698
456	586	696
457	586	694
458	587	692
459	588	690
460	589	688
461	590	687
462	591	686
463	592	684
464	593	682
465	594	680
466	594	678
467	595	676
468	596	675
469	597	673
470	597	671
471	598	669
472	599	667
473	600	665
474	600	664
475	601	662
476	602	660
477	602	658
478	603	656
479	605	655
480	606	654
481	607	653
482	608	651
483	609	649
484	609	647
485	610	645
486	611	644
487	612	642
488	612	640
489	613	638
490	614	636
491	615	635
492	615	633
493	616	631
494	617	629
495	618	628
496	618	626
497	620	625
498	621	623
499	622	622
500	622	620
501	623	618
502	624	617
503	625	615
504	626	613
505	626	612
506	627	610
507	628	608
508	629	606
509	629	605
510	630	603
511	631	601
512	632	600
513	633	598
514	635	598
515	635	596
516	636	594
517	637	593
518	638	591
519	638	589
520	639	588
521	640	586
522	641	584
523	642	583
524	642	581
525	643	579
526	644	578
527	645	576
528	645	575
529	646	573
530	647	571
531	648	570
532	649	569
533	650	567
534	651	566
535	652	564
536	652	562
537	653	561
538	654	559
539	655	558
540	655	556
541	656	554
542	657	553
543	658	551
544	658	550
545	659	548
546	660	546
547	661	545
548	661	543
549	662	542
550	663	540
551	665	539
552	665	538
553	666	536
554	667	535
555	668	533
556	669	532
557	670	530
558	670	529
559	671	527
560	672	526
561	673	524
562	673	522
563	674	521
564	675	519
565	676	518
566	676	516
567	677	515
568	679	514
569	680	513
570	681	511
571	682	510
572	682	508
573	683	507
574	684	505
575	685	504
576	685	502
577	686	501
578	687	499
579	688	498
580	689	496
581	689	495
582	690	494
583	691	492
584	692	491
585	693	489
586	694	488
587	695	487
588	696	485
589	696	484
590	697	482
591	698	481
592	699	479
593	700	478
594	700	477
595	701	475
596	702	474
597	703	472
598	703	471
599	704	469
600	705	468
601	706	466
602	707	465
603	708	464
604	709	463
605	710	461
606	711	460
607	711	458
608	712	457
609	713	456
610	714	454
611	714	453
612	715	451
613	716	450
614	717	449
615	718	447
616	718	446
617	719	444
618	720	443
619	721	441
620	721	440
621	723	439
622	724	438
623	724	436
624	725	435
625	726	433
626	727	432
627	728	431
628	728	429
629	729	428
630	730	427
631	731	425
632	731	424
633	732	422
634	733	421
635	734	420
636	734	418
637	735	417
638	736	416
639	738	415
640	738	413
641	739	412
642	740	411
643	741	409
644	741	408
645	742	406
646	743	405
647	744	404
648	744	402
649	745	401
650	746	400
651	747	398
652	748	397
653	748	396
654	749	394
655	750	393
656	751	392
657	752	390
658	753	389
659	754	388
660	755	387
661	755	385
662	756	384
663	757	383
664	758	381
665	758	380
666	759	379
667	760	377
668	761	376
669	761	375
670	762	373
671	763	372
672	764	371
673	764	369
674	765	368
675	766	367
676	767	366
677	768	365
678	769	363
679	770	362
680	771	361
681	771	359
682	772	358
683	773	357
684	774	355
685	774	354
686	775	353
687	776	352
688	777	350
689	777	349
690	778	348
691	779	346
692	780	345
693	782	344
694	783	343
695	784	342
696	784	341
697	785	339
698	786	338
699	786	337
700	787	335
701	788	334
702	789	333
703	789	332
704	790	330
705	791	329
706	792	328
707	793	327
708	793	325
709	794	324
710	796	323
711	797	322
712	798	321
713	798	319
714	799	318
715	800	317
716	801	316
717	801	314
718	802	313
719	803	312
720	804	311
721	804	309
722	805	308
723	806	307
724	807	306
